Company_id,Company_Name,Industry,Employee_count,Job_ID,LinkedIn_Followers,Location_City,Location_State,Designation,Details_ID,Involvement,Level,Total_Applicants
C015,Stellantis,Motor Vehicle Manufacturing,10000,J208,0,Bengaluru,Karnataka,Data Scientist,D084,Full-time,Mid-Senior level,NULL
C069,Volvo Cars,Motor Vehicle Manufacturing,10000,J209,597195,Bengaluru,Karnataka,Data Scientist,D004,Full-time,NULL,NULL
C003,Ford Motor Company,Motor Vehicle Manufacturing,10000,J254,0,Chennai,Tamil Nadu,Machine Learning Engineer,D045,Full-time,Entry level,78
C003,Ford Motor Company,Motor Vehicle Manufacturing,10000,J259,0,Chennai,Tamil Nadu,Machine Learning Engineer,D047,Full-time,Entry level,81
C003,Ford Motor Company,Motor Vehicle Manufacturing,10000,J262,0,Chennai,Tamil Nadu,Machine Learning Engineer,D048,Full-time,Entry level,83
C003,Ford Motor Company,Motor Vehicle Manufacturing,10000,J263,0,Chennai,Tamil Nadu,Machine Learning Engineer,D049,Full-time,Entry level,85
C003,Ford Motor Company,Motor Vehicle Manufacturing,10000,J269,0,Chennai,Tamil Nadu,Machine Learning Engineer,D030,Full-time,Entry level,NULL
C003,Ford Motor Company,Motor Vehicle Manufacturing,10000,J274,0,Chennai,Tamil Nadu,Machine Learning Engineer,D050,Full-time,Entry level,89
C003,Ford Motor Company,Motor Vehicle Manufacturing,10000,J276,0,Chennai,Tamil Nadu,Machine Learning Engineer,D051,Full-time,Entry level,91
C179,Tata Steel,Mining,10000,J281,0,Kolkata,West Bengal,Project Manager - Nest IN (Planning & Control),D084,Full-time,Mid-Senior level,NULL
C175,BD,Medical Equipment Manufacturing,10000,J284,0,Gurgaon,Haryana,"Sr. Manager, Facilities and Administration",D084,Full-time,Mid-Senior level,NULL
C175,BD,Medical Equipment Manufacturing,10000,J286,0,Gurgaon,Haryana,"Sr. Manager, Facilities and Administration",D085,Full-time,Mid-Senior level,102
C175,BD,Medical Equipment Manufacturing,10000,J288,0,Gurgaon,Haryana,"Sr. Manager, Facilities and Administration",D086,Full-time,Mid-Senior level,104
C029,"ARKRAY,Inc.",Medical Equipment Manufacturing,1001,J291,33629,Pune,Maharashtra,Data Scientist,D008,Full-time,Associate,NULL
C048,Kantar,Market Research,10000,J292,590774,Bangalore Urban,Karnataka,Consultant,D084,Full-time,Mid-Senior level,NULL
C205,Pidilite Industries Limited,Manufacturing,1001,J312,0,Bengaluru,Karnataka,Assistant Manager - Accounts,D030,Full-time,Entry level,NULL
C205,Pidilite Industries Limited,Manufacturing,1001,J358,0,Delhi,Delhi,Regional Logistics & Accounts Manager,D010,Full-time,Associate,107
C170,Moda Fashion,Manufacturing,1,J359,0,Kalyanpur,Bihar,Analista Financeiro,D030,Full-time,Entry level,NULL
C170,Moda Fashion,Manufacturing,1,J360,0,Kalyanpur,Bihar,Assistente Financeiro,D030,Full-time,Entry level,NULL
C205,Pidilite Industries Limited,Manufacturing,1001,J361,0,Kolkata,West Bengal,Regional Customer Manager,D084,Full-time,Mid-Senior level,NULL
C205,Pidilite Industries Limited,Manufacturing,1001,J362,0,Kolkata,West Bengal,Regional Customer Manager,D094,Full-time,Mid-Senior level,67
C199,Procter & Gamble,Manufacturing,10000,J386,0,Mumbai,Maharashtra,Summer Internship - Finance & Accounting,D114,Part-time,Internship,NULL
C199,Procter & Gamble,Manufacturing,10000,J400,0,Mumbai,Maharashtra,Summer Internship - Brand,D114,Part-time,Internship,NULL
C205,Pidilite Industries Limited,Manufacturing,1001,J425,0,Mumbai,Maharashtra,Executive - Mechandising,D053,Full-time,Executive,NULL
C199,Procter & Gamble,Manufacturing,10000,J438,0,Mumbai,Maharashtra,Summer Internship - Information Technology,D114,Part-time,Internship,NULL
C205,Pidilite Industries Limited,Manufacturing,1001,J460,0,Mumbai,Maharashtra,Executive - Mechandising,D055,Full-time,Executive,19
C004,Conneqt Digital,IT Services and IT Consulting,10000,J464,0,Bengaluru,Karnataka,Data Scientist,D008,Full-time,Associate,NULL
C020,Infosys,IT Services and IT Consulting,10000,J481,0,Bengaluru,Karnataka,Data Scientist,D030,Full-time,Entry level,NULL
C025,Amazon Web Services (AWS),IT Services and IT Consulting,10000,J511,0,Bengaluru,Karnataka,Data Scientist Intern,D004,Full-time,NULL,NULL
C038,Tata Consultancy Services,IT Services and IT Consulting,10000,J512,0,Bengaluru,Karnataka,Data Analytics,D084,Full-time,Mid-Senior level,NULL
C113,EXL,IT Services and IT Consulting,10000,J513,0,Bengaluru,Karnataka,Data Scientist,D084,Full-time,Mid-Senior level,NULL
C133,Bosch Global Software Technologies,IT Services and IT Consulting,10000,J517,790661,Bengaluru,Karnataka,IN_RBEI_SAP Central Finance SME,D092,Full-time,Mid-Senior level,4
C135,HERE Technologies,IT Services and IT Consulting,5001,J519,188072,Bengaluru,Karnataka,Sr R&D Test Engineer,D041,Full-time,Entry level,4
C148,Concentrix,IT Services and IT Consulting,10000,J521,0,Bengaluru,Karnataka,Ops Analytics,D008,Full-time,Associate,NULL
C223,Visa,IT Services and IT Consulting,10000,J522,0,Bengaluru,Karnataka,Sr. Software Test Engineer,D084,Full-time,Mid-Senior level,NULL
C227,Falabella India,IT Services and IT Consulting,51,J523,0,Bengaluru,Karnataka,Executive/Senior Executive Communications,D098,Internship,Internship,NULL
C227,Falabella India,IT Services and IT Consulting,51,J524,0,Bengaluru,Karnataka,Executive/Senior Executive Communications,D103,Internship,Internship,14
C227,Falabella India,IT Services and IT Consulting,51,J052,0,Bengaluru,Karnataka,Executive/Senior Executive Communications,D104,Internship,Internship,15
C008,Hexaware Technologies,IT Services and IT Consulting,10000,J429,0,Chennai,Tamil Nadu,Data Scientist,D084,Full-time,Mid-Senior level,NULL
C146,Uplers,IT Services and IT Consulting,1001,J108,0,Chennai,Tamil Nadu,Senior Visual Designer - WFH,D084,Full-time,Mid-Senior level,NULL
C218,Accenture in India,IT Services and IT Consulting,10000,J116,0,Chennai,Tamil Nadu,IBM Cognos TM1 Application Lead,D084,Full-time,Mid-Senior level,NULL
C218,Accenture in India,IT Services and IT Consulting,10000,J124,0,Chennai,Tamil Nadu,Spring Boot Application Developer,D084,Full-time,Mid-Senior level,NULL
C038,Tata Consultancy Services,IT Services and IT Consulting,10000,J190,0,Greater Hyderabad Area,Telangana,Data Analyst,D084,Full-time,Mid-Senior level,NULL
C218,Accenture in India,IT Services and IT Consulting,10000,J299,0,Gurgaon,Haryana,New Associate-Procurement management,D030,Full-time,Entry level,NULL
C218,Accenture in India,IT Services and IT Consulting,10000,J329,0,Gurgaon,Haryana,New Associate-Content Management,D043,Full-time,Entry level,5
C009,Wipro,IT Services and IT Consulting,10000,J351,0,Gurugram,Haryana,Data Scientist,D008,Full-time,Associate,NULL
C009,Wipro,IT Services and IT Consulting,10000,J392,0,Gurugram,Haryana,Product Analyst,D084,Full-time,Mid-Senior level,NULL
C009,Wipro,IT Services and IT Consulting,10000,J450,0,Hyderabad,Telangana,Data Analyst,D004,Full-time,NULL,NULL
C011,Sutherland,IT Services and IT Consulting,10000,J049,0,NULL,India,Data Scientist,D008,Full-time,Associate,NULL
C012,WiseAnalytics.io,IT Services and IT Consulting,51,J339,0,NULL,India,Data Scientist,D008,Full-time,Associate,NULL
C213,EPAM Anywhere,IT Services and IT Consulting,1001,J273,0,NULL,India,Senior SAP Spartacus Developer,D008,Full-time,Associate,NULL
C213,EPAM Anywhere,IT Services and IT Consulting,1001,J283,0,NULL,India,Lead SAP Spartacus Developer,D084,Full-time,Mid-Senior level,NULL
C213,EPAM Anywhere,IT Services and IT Consulting,1001,J311,0,NULL,India,Senior Perl Developer,D008,Full-time,Associate,NULL
C134,Alight Solutions,IT Services and IT Consulting,10000,J077,121100,Kochi,Kerala,SR DM Scientist (Sen Associate),D005,Full-time,NULL,3
C151,Infoparks Kerala,IT Services and IT Consulting,10000,J183,0,Kochi,Kerala,RPA Engineer,D030,Full-time,Entry level,NULL
C146,Uplers,IT Services and IT Consulting,1001,J192,0,Kolkata,West Bengal,Node.js Developer,D084,Full-time,Mid-Senior level,NULL
C107,LTI - Larsen & Toubro Infotech,IT Services and IT Consulting,10000,J199,0,NULL,Maharashtra,Data Analyst,D084,Full-time,Mid-Senior level,NULL
C207,Capita,IT Services and IT Consulting,10000,J200,0,Mumbai,Maharashtra,Executive - Customer Services (Webchat),D008,Full-time,Associate,NULL
C230,Mastercard,IT Services and IT Consulting,10000,J334,0,Mumbai,Maharashtra,Software engineer I,D030,Full-time,Entry level,NULL
C207,Capita,IT Services and IT Consulting,10000,J008,0,Mumbai,Maharashtra,Executive - Customer Services (Webchat),D021,Full-time,Associate,49
C032,HCL Technologies,IT Services and IT Consulting,10000,J013,0,Noida,Uttar Pradesh,Data Scientist,D084,Full-time,Mid-Senior level,NULL
C099,Genpact,IT Services and IT Consulting,10000,J034,0,Noida,Uttar Pradesh,Data Analyst,D008,Full-time,Associate,NULL
C218,Accenture in India,IT Services and IT Consulting,10000,J054,0,Open Area,Delhi,Transaction Processing New Associate,D030,Full-time,Entry level,NULL
C218,Accenture in India,IT Services and IT Consulting,10000,J140,0,Open Area,Delhi,Transaction Processing New Associate,D046,Full-time,Entry level,8
